j;p;t;TC_bjpt;G_bjpt;F_bjp;W_jp
9;1;13;100000;0.1;0.000015;127
9;1;14;100000;0.1;0.000015;127
9;2;1;100000;0.1;0.000015;43
9;2;2;100000;0.1;0.000015;43
9;2;3;100000;0.1;0.000015;43
9;2;4;100000;0.1;0.000015;43
9;2;5;100000;0.1;0.000015;43
9;2;6;100000;0.1;0.000015;43
9;2;7;100000;0.1;0.000015;43
9;2;8;100000;0.1;0.000015;43
9;2;9;100000;0.1;0.000015;43
9;2;10;100000;0.1;0.000015;43
9;2;11;100000;0.1;0.000015;43
9;2;12;100000;0.1;0.000015;43
9;2;13;100000;0.1;0.000015;43
9;2;14;100000;0.1;0.000015;43
