q;u;t;TC_equt;TC_fqut;G_equt;G_fqut;F_equ;F_fqu;W_qu
2;4;5;100000;100000;0.3;0.3;0.001;0.001;519
2;4;6;100000;100000;0.3;0.3;0.001;0.001;519
2;4;7;100000;100000;0.3;0.3;0.001;0.001;519
2;4;8;100000;100000;0.3;0.3;0.001;0.001;519
2;4;9;100000;100000;0.3;0.3;0.001;0.001;519
2;4;10;100000;100000;0.3;0.3;0.001;0.001;519
2;4;11;100000;100000;0.3;0.3;0.001;0.001;519
2;4;12;100000;100000;0.3;0.3;0.001;0.001;519
2;4;13;100000;100000;0.3;0.3;0.001;0.001;519
2;4;14;100000;100000;0.3;0.3;0.001;0.001;519
