r;t;D_crt;D_ert;D_frt
8;11;100;100;100
8;12;100;100;100
8;13;100;100;100
8;14;100;100;100
9;1;100;100;100
9;2;100;100;100
9;3;100;100;100
9;4;100;100;100
9;5;100;100;100
9;6;100;100;100
9;7;100;100;100
9;8;100;100;100
9;9;100;100;100
9;10;100;100;100
9;11;100;100;100
9;12;100;100;100
9;13;100;100;100
9;14;100;100;100
10;1;100;100;100
10;2;100;100;100
10;3;100;100;100
10;4;100;100;100
10;5;100;100;100
10;6;100;100;100
10;7;100;100;100
10;8;100;100;100
10;9;100;100;100
10;10;100;100;100
10;11;100;100;100
10;12;100;100;100
10;13;100;100;100
10;14;100;100;100
11;1;100;100;100
11;2;100;100;100
11;3;100;100;100
11;4;100;100;100
11;5;100;100;100
11;6;100;100;100
11;7;100;100;100
11;8;100;100;100
11;9;100;100;100
11;10;100;100;100
11;11;100;100;100
11;12;100;100;100
11;13;100;100;100
11;14;100;100;100
12;1;100;100;100
12;2;100;100;100
12;3;100;100;100
12;4;100;100;100
12;5;100;100;100
12;6;100;100;100
12;7;100;100;100
12;8;100;100;100
12;9;100;100;100
12;10;100;100;100
12;11;100;100;100
12;12;100;100;100
12;13;100;100;100
12;14;100;100;100
13;1;100;100;100
13;2;100;100;100
13;3;100;100;100
13;4;100;100;100
13;5;100;100;100
13;6;100;100;100
13;7;100;100;100
13;8;100;100;100
13;9;100;100;100
13;10;100;100;100
13;11;100;100;100
13;12;100;100;100
13;13;100;100;100
13;14;100;100;100
14;1;100;100;100
14;2;100;100;100
14;3;100;100;100
14;4;100;100;100
14;5;100;100;100
14;6;100;100;100
14;7;100;100;100
14;8;100;100;100
14;9;100;100;100
14;10;100;100;100
14;11;100;100;100
14;12;100;100;100
14;13;100;100;100
14;14;100;100;100
15;1;100;100;100
15;2;100;100;100
15;3;100;100;100
15;4;100;100;100
15;5;100;100;100
15;6;100;100;100
15;7;100;100;100
15;8;100;100;100
15;9;100;100;100
15;10;100;100;100
15;11;100;100;100
15;12;100;100;100
15;13;100;100;100
15;14;100;100;100
16;1;100;100;100
16;2;100;100;100
16;3;100;100;100
16;4;100;100;100
16;5;100;100;100
16;6;100;100;100
16;7;100;100;100
16;8;100;100;100
16;9;100;100;100
16;10;100;100;100
16;11;100;100;100
16;12;100;100;100
16;13;100;100;100
16;14;100;100;100
17;1;100;100;100
17;2;100;100;100
17;3;100;100;100
17;4;100;100;100
17;5;100;100;100
17;6;100;100;100
17;7;100;100;100
17;8;100;100;100
17;9;100;100;100
17;10;100;100;100
17;11;100;100;100
17;12;100;100;100
17;13;100;100;100
17;14;100;100;100
18;1;100;100;100
18;2;100;100;100
18;3;100;100;100
18;4;100;100;100
18;5;100;100;100
18;6;100;100;100
18;7;100;100;100
18;8;100;100;100
18;9;100;100;100
18;10;100;100;100
18;11;100;100;100
18;12;100;100;100
18;13;100;100;100
18;14;100;100;100
19;1;100;100;100
19;2;100;100;100
19;3;100;100;100
19;4;100;100;100
19;5;100;100;100
19;6;100;100;100
19;7;100;100;100
19;8;100;100;100
19;9;100;100;100
19;10;100;100;100
19;11;100;100;100
19;12;100;100;100
19;13;100;100;100
19;14;100;100;100
20;1;100;100;100
20;2;100;100;100
20;3;100;100;100
20;4;100;100;100
20;5;100;100;100
20;6;100;100;100
20;7;100;100;100
20;8;100;100;100
20;9;100;100;100
20;10;100;100;100
20;11;100;100;100
20;12;100;100;100
20;13;100;100;100
20;14;100;100;100
21;1;100;100;100
21;2;100;100;100
21;3;100;100;100
21;4;100;100;100
21;5;100;100;100
21;6;100;100;100
21;7;100;100;100
21;8;100;100;100
21;9;100;100;100
21;10;100;100;100
21;11;100;100;100
21;12;100;100;100
21;13;100;100;100
21;14;100;100;100
22;1;100;100;100
22;2;100;100;100
22;3;100;100;100
22;4;100;100;100
22;5;100;100;100
22;6;100;100;100
22;7;100;100;100
22;8;100;100;100
22;9;100;100;100
22;10;100;100;100
22;11;100;100;100
22;12;100;100;100
22;13;100;100;100
22;14;100;100;100
23;1;100;100;100
23;2;100;100;100
23;3;100;100;100
23;4;100;100;100
23;5;100;100;100
23;6;100;100;100
23;7;100;100;100
23;8;100;100;100
23;9;100;100;100
23;10;100;100;100
23;11;100;100;100
23;12;100;100;100
23;13;100;100;100
23;14;100;100;100
24;1;100;100;100
24;2;100;100;100
24;3;100;100;100
24;4;100;100;100
24;5;100;100;100
24;6;100;100;100
24;7;100;100;100
24;8;100;100;100
24;9;100;100;100
24;10;100;100;100
24;11;100;100;100
24;12;100;100;100
24;13;100;100;100
24;14;100;100;100
25;1;100;100;100
25;2;100;100;100
25;3;100;100;100
25;4;100;100;100
25;5;100;100;100
25;6;100;100;100
25;7;100;100;100
25;8;100;100;100
25;9;100;100;100
25;10;100;100;100
25;11;100;100;100
25;12;100;100;100
25;13;100;100;100
25;14;100;100;100
26;1;100;100;100
26;2;100;100;100
26;3;100;100;100
26;4;100;100;100
26;5;100;100;100
26;6;100;100;100
26;7;100;100;100
26;8;100;100;100
26;9;100;100;100
26;10;100;100;100
26;11;100;100;100
26;12;100;100;100
26;13;100;100;100
26;14;100;100;100
27;1;100;100;100
27;2;100;100;100
27;3;100;100;100
27;4;100;100;100
27;5;100;100;100
27;6;100;100;100
27;7;100;100;100
27;8;100;100;100
27;9;100;100;100
27;10;100;100;100
27;11;100;100;100
27;12;100;100;100
27;13;100;100;100
27;14;100;100;100
28;1;100;100;100
28;2;100;100;100
28;3;100;100;100
28;4;100;100;100
28;5;100;100;100
28;6;100;100;100
28;7;100;100;100
28;8;100;100;100
28;9;100;100;100
28;10;100;100;100
28;11;100;100;100
28;12;100;100;100
28;13;100;100;100
28;14;100;100;100
29;1;100;100;100
29;2;100;100;100
29;3;100;100;100
29;4;100;100;100
29;5;100;100;100
29;6;100;100;100
29;7;100;100;100
29;8;100;100;100
29;9;100;100;100
29;10;100;100;100
29;11;100;100;100
29;12;100;100;100
29;13;100;100;100
29;14;100;100;100
30;1;100;100;100
30;2;100;100;100
30;3;100;100;100
30;4;100;100;100
30;5;100;100;100
30;6;100;100;100
30;7;100;100;100
30;8;100;100;100
30;9;100;100;100
30;10;100;100;100
30;11;100;100;100
30;12;100;100;100
30;13;100;100;100
30;14;100;100;100

