i;t;AC_ait
46;2;1000000
46;3;1000000
46;4;1000000
46;5;1000000
46;6;1000000
46;7;1000000
46;8;1000000
46;9;1000000
46;10;1000000
46;11;1000000
46;12;1000000
46;13;1000000
46;14;1000000
47;1;1000000
47;2;1000000
47;3;1000000
47;4;1000000
47;5;1000000
47;6;1000000
47;7;1000000
47;8;1000000
47;9;1000000
47;10;1000000
47;11;1000000
47;12;1000000
47;13;1000000
47;14;1000000
48;1;1000000
48;2;1000000
48;3;1000000
48;4;1000000
48;5;1000000
48;6;1000000
48;7;1000000
48;8;1000000
48;9;1000000
48;10;1000000
48;11;1000000
48;12;1000000
48;13;1000000
48;14;1000000
49;1;1000000
49;2;1000000
49;3;1000000
49;4;1000000
49;5;1000000
49;6;1000000
49;7;1000000
49;8;1000000
49;9;1000000
49;10;1000000
49;11;1000000
49;12;1000000
49;13;1000000
49;14;1000000
50;1;1000000
50;2;1000000
50;3;1000000
50;4;1000000
50;5;1000000
50;6;1000000
50;7;1000000
50;8;1000000
50;9;1000000
50;10;1000000
50;11;1000000
50;12;1000000
50;13;1000000
50;14;1000000
51;1;1000000
51;2;1000000
51;3;1000000
51;4;1000000
51;5;1000000
51;6;1000000
51;7;1000000
51;8;1000000
51;9;1000000
51;10;1000000
51;11;1000000
51;12;1000000
51;13;1000000
51;14;1000000
52;1;1000000
52;2;1000000
52;3;1000000
52;4;1000000
52;5;1000000
52;6;1000000
52;7;1000000
52;8;1000000
52;9;1000000
52;10;1000000
52;11;1000000
52;12;1000000
52;13;1000000
52;14;1000000
53;1;1000000
53;2;1000000
53;3;1000000
53;4;1000000
53;5;1000000
53;6;1000000
53;7;1000000
53;8;1000000
53;9;1000000
53;10;1000000
53;11;1000000
53;12;1000000
53;13;1000000
53;14;1000000
54;1;1000000
54;2;1000000
54;3;1000000
54;4;1000000
54;5;1000000
54;6;1000000
54;7;1000000
54;8;1000000
54;9;1000000
54;10;1000000
54;11;1000000
54;12;1000000
54;13;1000000
54;14;1000000
55;1;1000000
55;2;1000000
55;3;1000000
55;4;1000000
55;5;1000000
55;6;1000000
55;7;1000000
55;8;1000000
55;9;1000000
55;10;1000000
55;11;1000000
55;12;1000000
55;13;1000000
55;14;1000000
56;1;1000000
56;2;1000000
56;3;1000000
56;4;1000000
56;5;1000000
56;6;1000000
56;7;1000000
56;8;1000000
56;9;1000000
56;10;1000000
56;11;1000000
56;12;1000000
56;13;1000000
56;14;1000000
57;1;1000000
57;2;1000000
57;3;1000000
57;4;1000000
57;5;1000000
57;6;1000000
57;7;1000000
57;8;1000000
57;9;1000000
57;10;1000000
57;11;1000000
57;12;1000000
57;13;1000000
57;14;1000000
58;1;1000000
58;2;1000000
58;3;1000000
58;4;1000000
58;5;1000000
58;6;1000000
58;7;1000000
58;8;1000000
58;9;1000000
58;10;1000000
58;11;1000000
58;12;1000000
58;13;1000000
58;14;1000000
59;1;1000000
59;2;1000000
59;3;1000000
59;4;1000000
59;5;1000000
59;6;1000000
59;7;1000000
59;8;1000000
59;9;1000000
59;10;1000000
59;11;1000000
59;12;1000000
59;13;1000000
59;14;1000000
60;1;1000000
60;2;1000000
60;3;1000000
60;4;1000000
60;5;1000000
60;6;1000000
60;7;1000000
60;8;1000000
60;9;1000000
60;10;1000000
60;11;1000000
60;12;1000000
60;13;1000000
60;14;1000000
