r;t;D_crt;D_ert;D_frt
37;1;15000;15000;15000
37;2;15000;15000;15000
37;3;15000;15000;15000
37;4;15000;15000;15000
37;5;15000;15000;15000
37;6;15000;15000;15000
37;7;15000;15000;15000
37;8;15000;15000;15000
37;9;15000;15000;15000
37;10;15000;15000;15000
37;11;15000;15000;15000
37;12;15000;15000;15000
37;13;15000;15000;15000
37;14;15000;15000;15000
38;1;15000;15000;15000
38;2;15000;15000;15000
38;3;15000;15000;15000
38;4;15000;15000;15000
38;5;15000;15000;15000
38;6;15000;15000;15000
38;7;15000;15000;15000
38;8;15000;15000;15000
38;9;15000;15000;15000
38;10;15000;15000;15000
38;11;15000;15000;15000
38;12;15000;15000;15000
38;13;15000;15000;15000
38;14;15000;15000;15000
39;1;15000;15000;15000
39;2;15000;15000;15000
39;3;15000;15000;15000
39;4;15000;15000;15000
39;5;15000;15000;15000
39;6;15000;15000;15000
39;7;15000;15000;15000
39;8;15000;15000;15000
39;9;15000;15000;15000
39;10;15000;15000;15000
39;11;15000;15000;15000
39;12;15000;15000;15000
39;13;15000;15000;15000
39;14;15000;15000;15000
40;1;15000;15000;15000
40;2;15000;15000;15000
40;3;15000;15000;15000
40;4;15000;15000;15000
40;5;15000;15000;15000
40;6;15000;15000;15000
40;7;15000;15000;15000
40;8;15000;15000;15000
40;9;15000;15000;15000
40;10;15000;15000;15000
40;11;15000;15000;15000
40;12;15000;15000;15000
40;13;15000;15000;15000
40;14;15000;15000;15000
41;1;15000;15000;15000
41;2;15000;15000;15000
41;3;15000;15000;15000
41;4;15000;15000;15000
41;5;15000;15000;15000
41;6;15000;15000;15000
41;7;15000;15000;15000
41;8;15000;15000;15000
41;9;15000;15000;15000
41;10;15000;15000;15000
41;11;15000;15000;15000
41;12;15000;15000;15000
41;13;15000;15000;15000
41;14;15000;15000;15000
42;1;15000;15000;15000
42;2;15000;15000;15000
42;3;15000;15000;15000
42;4;15000;15000;15000
42;5;15000;15000;15000
42;6;15000;15000;15000
42;7;15000;15000;15000
42;8;15000;15000;15000
42;9;15000;15000;15000
42;10;15000;15000;15000
42;11;15000;15000;15000
42;12;15000;15000;15000
42;13;15000;15000;15000
42;14;15000;15000;15000
43;1;15000;15000;15000
43;2;15000;15000;15000
43;3;15000;15000;15000
43;4;15000;15000;15000
43;5;15000;15000;15000
43;6;15000;15000;15000
43;7;15000;15000;15000
43;8;15000;15000;15000
43;9;15000;15000;15000
43;10;15000;15000;15000
43;11;15000;15000;15000
43;12;15000;15000;15000
43;13;15000;15000;15000
43;14;15000;15000;15000
44;1;15000;15000;15000
44;2;15000;15000;15000
44;3;15000;15000;15000
44;4;15000;15000;15000
44;5;15000;15000;15000
44;6;15000;15000;15000
44;7;15000;15000;15000
44;8;15000;15000;15000
44;9;15000;15000;15000
44;10;15000;15000;15000
44;11;15000;15000;15000
44;12;15000;15000;15000
44;13;15000;15000;15000
44;14;15000;15000;15000
45;1;15000;15000;15000
45;2;15000;15000;15000
45;3;15000;15000;15000
45;4;15000;15000;15000
45;5;15000;15000;15000
45;6;15000;15000;15000
45;7;15000;15000;15000
45;8;15000;15000;15000
45;9;15000;15000;15000
45;10;15000;15000;15000
45;11;15000;15000;15000
45;12;15000;15000;15000
45;13;15000;15000;15000
45;14;15000;15000;15000
46;1;15000;15000;15000
46;2;15000;15000;15000
46;3;15000;15000;15000
46;4;15000;15000;15000
46;5;15000;15000;15000
46;6;15000;15000;15000
46;7;15000;15000;15000
46;8;15000;15000;15000
46;9;15000;15000;15000
46;10;15000;15000;15000
46;11;15000;15000;15000
46;12;15000;15000;15000
46;13;15000;15000;15000
46;14;15000;15000;15000
47;1;15000;15000;15000
47;2;15000;15000;15000
47;3;15000;15000;15000
47;4;15000;15000;15000
47;5;15000;15000;15000
47;6;15000;15000;15000
47;7;15000;15000;15000
47;8;15000;15000;15000
47;9;15000;15000;15000
47;10;15000;15000;15000
47;11;15000;15000;15000
47;12;15000;15000;15000
47;13;15000;15000;15000
47;14;15000;15000;15000
48;1;15000;15000;15000
48;2;15000;15000;15000
48;3;15000;15000;15000
48;4;15000;15000;15000
48;5;15000;15000;15000
48;6;15000;15000;15000
48;7;15000;15000;15000
48;8;15000;15000;15000
48;9;15000;15000;15000
48;10;15000;15000;15000
48;11;15000;15000;15000
48;12;15000;15000;15000
48;13;15000;15000;15000
48;14;15000;15000;15000
49;1;15000;15000;15000
49;2;15000;15000;15000
49;3;15000;15000;15000
49;4;15000;15000;15000
49;5;15000;15000;15000
49;6;15000;15000;15000
49;7;15000;15000;15000
49;8;15000;15000;15000
49;9;15000;15000;15000
49;10;15000;15000;15000
49;11;15000;15000;15000
49;12;15000;15000;15000
49;13;15000;15000;15000
49;14;15000;15000;15000
50;1;15000;15000;15000
50;2;15000;15000;15000
50;3;15000;15000;15000
50;4;15000;15000;15000
50;5;15000;15000;15000
50;6;15000;15000;15000
50;7;15000;15000;15000
50;8;15000;15000;15000
50;9;15000;15000;15000
50;10;15000;15000;15000
50;11;15000;15000;15000
50;12;15000;15000;15000
50;13;15000;15000;15000
50;14;15000;15000;15000
51;1;15000;15000;15000
51;2;15000;15000;15000
51;3;15000;15000;15000
51;4;15000;15000;15000
51;5;15000;15000;15000
51;6;15000;15000;15000
51;7;15000;15000;15000
51;8;15000;15000;15000
51;9;15000;15000;15000
51;10;15000;15000;15000
51;11;15000;15000;15000
51;12;15000;15000;15000
51;13;15000;15000;15000
51;14;15000;15000;15000
52;1;15000;15000;15000
52;2;15000;15000;15000
52;3;15000;15000;15000
52;4;15000;15000;15000
52;5;15000;15000;15000
52;6;15000;15000;15000
52;7;15000;15000;15000
52;8;15000;15000;15000
52;9;15000;15000;15000
52;10;15000;15000;15000
52;11;15000;15000;15000
52;12;15000;15000;15000
52;13;15000;15000;15000
52;14;15000;15000;15000
53;1;15000;15000;15000
53;2;15000;15000;15000
53;3;15000;15000;15000
53;4;15000;15000;15000
53;5;15000;15000;15000
53;6;15000;15000;15000
53;7;15000;15000;15000
53;8;15000;15000;15000
53;9;15000;15000;15000
53;10;15000;15000;15000
53;11;15000;15000;15000
53;12;15000;15000;15000
53;13;15000;15000;15000
53;14;15000;15000;15000
54;1;15000;15000;15000
54;2;15000;15000;15000
54;3;15000;15000;15000
54;4;15000;15000;15000
54;5;15000;15000;15000
54;6;15000;15000;15000
54;7;15000;15000;15000
54;8;15000;15000;15000
54;9;15000;15000;15000
54;10;15000;15000;15000
54;11;15000;15000;15000
54;12;15000;15000;15000
54;13;15000;15000;15000
54;14;15000;15000;15000
55;1;15000;15000;15000
55;2;15000;15000;15000
55;3;15000;15000;15000
55;4;15000;15000;15000
55;5;15000;15000;15000
55;6;15000;15000;15000
55;7;15000;15000;15000
55;8;15000;15000;15000
55;9;15000;15000;15000
55;10;15000;15000;15000
55;11;15000;15000;15000
55;12;15000;15000;15000
55;13;15000;15000;15000
55;14;15000;15000;15000
56;1;15000;15000;15000
56;2;15000;15000;15000
56;3;15000;15000;15000
56;4;15000;15000;15000
56;5;15000;15000;15000
56;6;15000;15000;15000
56;7;15000;15000;15000
56;8;15000;15000;15000
56;9;15000;15000;15000
56;10;15000;15000;15000
56;11;15000;15000;15000
56;12;15000;15000;15000
56;13;15000;15000;15000
56;14;15000;15000;15000
57;1;15000;15000;15000
57;2;15000;15000;15000
57;3;15000;15000;15000
57;4;15000;15000;15000
57;5;15000;15000;15000
57;6;15000;15000;15000
57;7;15000;15000;15000
57;8;15000;15000;15000
57;9;15000;15000;15000
57;10;15000;15000;15000
57;11;15000;15000;15000
57;12;15000;15000;15000
57;13;15000;15000;15000
57;14;15000;15000;15000
58;1;15000;15000;15000
58;2;15000;15000;15000
58;3;15000;15000;15000
58;4;15000;15000;15000
58;5;15000;15000;15000
58;6;15000;15000;15000
58;7;15000;15000;15000
58;8;15000;15000;15000
58;9;15000;15000;15000
58;10;15000;15000;15000
58;11;15000;15000;15000
58;12;15000;15000;15000
58;13;15000;15000;15000
58;14;15000;15000;15000
59;1;15000;15000;15000
59;2;15000;15000;15000
59;3;15000;15000;15000
59;4;15000;15000;15000
59;5;15000;15000;15000
59;6;15000;15000;15000
59;7;15000;15000;15000
59;8;15000;15000;15000
59;9;15000;15000;15000
59;10;15000;15000;15000
59;11;15000;15000;15000
59;12;15000;15000;15000
59;13;15000;15000;15000
59;14;15000;15000;15000
60;1;15000;15000;15000
60;2;15000;15000;15000
60;3;15000;15000;15000
60;4;15000;15000;15000
60;5;15000;15000;15000
60;6;15000;15000;15000
60;7;15000;15000;15000
60;8;15000;15000;15000
60;9;15000;15000;15000
60;10;15000;15000;15000
60;11;15000;15000;15000
60;12;15000;15000;15000
60;13;15000;15000;15000
60;14;15000;15000;15000
