q;t;Cap_eqt;Cap_fqt;H_eqt;H_fqt;PC_eqt;PC_fqt;PW_cqt
9;3;1000000000;1000000000;3;2;1.5;1.5;1.5
9;4;1000000000;1000000000;3;2;1.5;1.5;1.5
9;5;1000000000;1000000000;3;2;1.5;1.5;1.5
9;6;1000000000;1000000000;3;2;1.5;1.5;1.5
9;7;1000000000;1000000000;3;2;1.5;1.5;1.5
9;8;1000000000;1000000000;3;2;1.5;1.5;1.5
9;9;1000000000;1000000000;3;2;1.5;1.5;1.5
9;10;1000000000;1000000000;3;2;1.5;1.5;1.5
9;11;1000000000;1000000000;3;2;1.5;1.5;1.5
9;12;1000000000;1000000000;3;2;1.5;1.5;1.5
9;13;1000000000;1000000000;3;2;1.5;1.5;1.5
9;14;1000000000;1000000000;3;2;1.5;1.5;1.5
10;1;1000000000;1000000000;3;2;1.5;1.5;1.5
10;2;1000000000;1000000000;3;2;1.5;1.5;1.5
10;3;1000000000;1000000000;3;2;1.5;1.5;1.5
10;4;1000000000;1000000000;3;2;1.5;1.5;1.5
10;5;1000000000;1000000000;3;2;1.5;1.5;1.5
10;6;1000000000;1000000000;3;2;1.5;1.5;1.5
10;7;1000000000;1000000000;3;2;1.5;1.5;1.5
10;8;1000000000;1000000000;3;2;1.5;1.5;1.5
10;9;1000000000;1000000000;3;2;1.5;1.5;1.5
10;10;1000000000;1000000000;3;2;1.5;1.5;1.5
10;11;1000000000;1000000000;3;2;1.5;1.5;1.5
10;12;1000000000;1000000000;3;2;1.5;1.5;1.5
10;13;1000000000;1000000000;3;2;1.5;1.5;1.5
10;14;1000000000;1000000000;3;2;1.5;1.5;1.5
